sample_id,predicted_price
33127,3.03
198967,23.93
261251,30.94
55858,45.28
292686,84.56
9259,45.07
191846,-4.98
222007,70.58
37614,23.15
238044,12.68
254947,27.88
283223,15.11
21740,64.23
170292,7.84
71500,13.58
266475,23.66
88520,31.61
125583,22.3
271423,95.63
260842,45.33
267410,74.57
201749,45.75
194856,18.25
81813,-1.33
234305,48.85
154376,13.32
202016,33.14
116291,19.6
234372,18.39
116974,39.02
178219,13.14
248217,5.96
22148,72.54
7575,29.32
100323,12.8
109029,21.53
38571,30.65
56340,22.99
196576,87.22
274881,21.88
166681,9.99
95469,18.96
255445,-10.19
259866,67.21
59900,42.55
61692,33.32
56211,47.15
140715,27.96
186165,23.39
272258,16.21
191961,3.27
245797,28.14
278964,38.45
133751,43.8
188740,-14.68
216435,26.99
147811,74.01
48188,22.39
260170,32.12
24701,73.5
65474,59.75
151954,12.27
25549,0.97
210101,27.05
22348,-0.28
69365,46.04
43008,15.68
182264,9.24
117130,23.25
236193,32.78
202733,126.63
35395,-12.76
66928,37.41
201717,17.63
239169,10.18
191671,40.58
240701,23.56
172422,27.32
166878,-11.95
31920,3.61
247546,17.03
7411,16.16
218503,-5.03
86106,19.25
115306,29.27
182492,3.82
202254,161.54
164888,25.83
7984,20.86
3294,121.32
181347,-3.91
159362,12.28
273689,52.15
51564,-2.3
81259,-9.99
131791,-1.98
228657,27.09
21269,16.23
17024,-15.79
286405,53.95
14079,7.65
129107,31.05
224077,10.02
125263,19.99
275308,0.84
189369,3.8
62153,35.09
148336,31.82
39817,24.36
296273,23.26
3762,17.3
283764,58.51
167015,28.98
167146,47.08
88555,10.84
75673,-1.03
133577,17.67
208446,36.51
116477,49.13
124069,20.27
274873,21.5
156028,46.35
126465,31.53
188613,11.13
117358,9.05
137859,19.02
76461,12.32
144305,40.93
108235,13.49
203467,32.78
114665,6.63
255165,22.15
46363,12.77
248456,10.95
273526,2.19
30664,41.08
60806,61.2
67927,13.64
155886,0.26
264011,10.33
209694,11.45
150391,37.84
79260,48.21
6306,40.67
142282,43.58
71590,10.3
240535,14.03
146884,13.36
230905,0.63
160200,1.59
39416,17.02
169191,25.56
274674,7.37
44612,15.56
65166,30.06
193140,39.53
259502,22.44
74357,-2.86
218798,27.52
233065,30.5
72342,33.75
72067,28.58
84196,14.02
107365,25.83
26936,11.82
272978,13.25
45565,12.75
93888,11.56
237048,15.23
136095,31.56
282038,17.53
270438,18.02
108458,11.04
171908,19.33
231177,26.51
295482,19.48
146177,17.56
233511,25.0
204586,56.82
272332,23.16
20013,50.62
248978,28.36
81251,19.82
167614,45.99
124087,39.18
291251,10.35
2511,62.5
206609,11.91
127502,15.07
261368,21.16
66293,28.94
19141,20.97
215554,8.92
251784,19.53
280942,-10.1
265271,39.17
255173,109.92
165947,27.56
185249,14.05
86828,-1.37
13491,12.45
82516,17.24
79135,3.08
