sample_id,predicted_price,lower_range,upper_range
33127,3.03,-23.98,30.04
198967,23.93,-3.09,50.94
261251,30.94,3.93,57.96
55858,45.28,18.27,72.3
292686,84.56,57.55,111.57
9259,45.07,18.06,72.09
191846,-4.98,-32.0,22.03
222007,70.58,43.56,97.59
37614,23.15,-3.86,50.17
238044,12.68,-14.33,39.7
254947,27.88,0.86,54.89
283223,15.11,-11.9,42.12
21740,64.23,37.22,91.25
170292,7.84,-19.18,34.85
71500,13.58,-13.43,40.6
266475,23.66,-3.36,50.67
88520,31.61,4.6,58.63
125583,22.3,-4.71,49.31
271423,95.63,68.62,122.65
260842,45.33,18.32,72.34
267410,74.57,47.56,101.59
201749,45.75,18.74,72.76
194856,18.25,-8.76,45.26
81813,-1.33,-28.35,25.68
234305,48.85,21.83,75.86
154376,13.32,-13.69,40.34
202016,33.14,6.13,60.15
116291,19.6,-7.42,46.61
234372,18.39,-8.62,45.4
116974,39.02,12.0,66.03
178219,13.14,-13.87,40.16
248217,5.96,-21.06,32.97
22148,72.54,45.53,99.55
7575,29.32,2.3,56.33
100323,12.8,-14.22,39.81
109029,21.53,-5.48,48.54
38571,30.65,3.64,57.66
56340,22.99,-4.02,50.0
196576,87.22,60.2,114.23
274881,21.88,-5.14,48.89
166681,9.99,-17.03,37.0
95469,18.96,-8.05,45.98
255445,-10.19,-37.2,16.82
259866,67.21,40.2,94.23
59900,42.55,15.54,69.56
61692,33.32,6.31,60.34
56211,47.15,20.14,74.16
140715,27.96,0.94,54.97
186165,23.39,-3.62,50.41
272258,16.21,-10.8,43.22
191961,3.27,-23.75,30.28
245797,28.14,1.13,55.15
278964,38.45,11.43,65.46
133751,43.8,16.78,70.81
188740,-14.68,-41.69,12.34
216435,26.99,-0.02,54.0
147811,74.01,47.0,101.03
48188,22.39,-4.62,49.4
260170,32.12,5.11,59.14
24701,73.5,46.49,100.51
65474,59.75,32.73,86.76
151954,12.27,-14.75,39.28
25549,0.97,-26.04,27.98
